 % Time.............:    0.0000000000000000     
 % Distribution.....:            0
 % Fluid flag.......:            1
 % Vaporization flag:            0
 % Temperature flag.:            0
  %    ID      Diameter         X position        Y position        X velocity         Y velocity       X Fluid vel.      Y Fluid vel.          Mass          Temperature
       1    3.09709219E-05    0.00000000E+00    1.50000000E+00    1.00000000E+01    0.00000000E+00    8.76743812E+00    4.68261877E-01    1.55546783E-11    3.08000000E+02
       2    3.41635287E-05    0.00000000E+00    1.50000000E+00    1.00000000E+01    0.00000000E+00    8.76743812E+00    4.68261877E-01    2.08778994E-11    3.08000000E+02
       3    3.59607461E-05    0.00000000E+00    1.50000000E+00    1.00000000E+01    0.00000000E+00    8.76743812E+00    4.68261877E-01    2.43492010E-11    3.08000000E+02
       4    5.40958180E-05    0.00000000E+00    1.50000000E+00    1.00000000E+01    0.00000000E+00    8.76743812E+00    4.68261877E-01    8.28876280E-11    3.08000000E+02
       5    6.11162943E-05    0.00000000E+00    1.50000000E+00    1.00000000E+01    0.00000000E+00    8.76743812E+00    4.68261877E-01    1.19528006E-10    3.08000000E+02
       6    6.45057128E-05    0.00000000E+00    1.50000000E+00    1.00000000E+01    0.00000000E+00    8.76743812E+00    4.68261877E-01    1.40537806E-10    3.08000000E+02
       7    8.11891328E-05    0.00000000E+00    1.50000000E+00    1.00000000E+01    0.00000000E+00    8.76743812E+00    4.68261877E-01    2.80215621E-10    3.08000000E+02
       8    8.90545143E-05    0.00000000E+00    1.50000000E+00    1.00000000E+01    0.00000000E+00    8.76743812E+00    4.68261877E-01    3.69799613E-10    3.08000000E+02
       9    8.92122631E-05    0.00000000E+00    1.50000000E+00    1.00000000E+01    0.00000000E+00    8.76743812E+00    4.68261877E-01    3.71768256E-10    3.08000000E+02
      10    9.26055905E-05    0.00000000E+00    1.50000000E+00    1.00000000E+01    0.00000000E+00    8.76743812E+00    4.68261877E-01    4.15824669E-10    3.08000000E+02
