 % Time.............:    5.4999999861138349E-004
 % Distribution.....:            0
 % Fluid flag.......:            0
 % Vaporization flag:            1
 % Temperature flag.:   -1.32555305E+24
 %    ID      Diameter         X position        Y position        X velocity       Y velocity           Mass            Temperature
       1    2.33585075E-06    1.20779052E-04    1.20778890E-04    8.36076733E-12   -1.61679010E-04    6.67319634E-15    3.08000000E+02
       2    2.95692184E-06    1.63905353E-04    1.63905094E-04    5.40192598E-08   -2.59070760E-04    1.35368672E-14    3.08000000E+02
       3    3.51929779E-06    2.11203157E-04    2.11202783E-04    6.40717717E-06   -3.66959264E-04    2.28226823E-14    3.08000000E+02
       4    3.51929779E-06    2.11203157E-04    2.11202783E-04    6.40717717E-06   -3.66959264E-04    2.28226823E-14    3.08000000E+02
       5    4.61371246E-06    3.25056307E-04    3.25054506E-04    1.15255488E-03   -6.29521841E-04    5.14221473E-14    3.08000000E+02
       6    4.61371246E-06    3.25056307E-04    3.25054506E-04    1.15255488E-03   -6.29521841E-04    5.14221473E-14    3.08000000E+02
       7    4.61371246E-06    3.25056307E-04    3.25054506E-04    1.15255488E-03   -6.29521841E-04    5.14221473E-14    3.08000000E+02
       8    5.67143431E-06    4.60366851E-04    4.60350263E-04    1.54839328E-02   -9.39575040E-04    9.55162696E-14    3.08000000E+02
       9    5.67143431E-06    4.60366851E-04    4.60350263E-04    1.54839328E-02   -9.39575040E-04    9.55162696E-14    3.08000000E+02
      10    5.67143431E-06    4.60366851E-04    4.60350263E-04    1.54839328E-02   -9.39575040E-04    9.55162696E-14    3.08000000E+02
      11    5.67143431E-06    4.60366851E-04    4.60350263E-04    1.54839328E-02   -9.39575040E-04    9.55162696E-14    3.08000000E+02
      12    6.71078221E-06    6.11568416E-04    6.11497142E-04    6.94683820E-02   -1.27517448E-03    1.58240654E-13    3.08000000E+02
      13    6.71078221E-06    6.11568416E-04    6.11497142E-04    6.94683820E-02   -1.27517448E-03    1.58240654E-13    3.08000000E+02
      14    6.71078221E-06    6.11568416E-04    6.11497142E-04    6.94683820E-02   -1.27517448E-03    1.58240654E-13    3.08000000E+02
      15    6.71078221E-06    6.11568416E-04    6.11497142E-04    6.94683820E-02   -1.27517448E-03    1.58240654E-13    3.08000000E+02
      16    6.71078221E-06    6.11568416E-04    6.11497142E-04    6.94683820E-02   -1.27517448E-03    1.58240654E-13    3.08000000E+02
      17    7.73973140E-06    7.69993352E-04    7.69810408E-04    1.80284043E-01   -1.61249754E-03    2.42759538E-13    3.08000000E+02
      18    7.73973140E-06    7.69993352E-04    7.69810408E-04    1.80284043E-01   -1.61249754E-03    2.42759538E-13    3.08000000E+02
      19    7.73973140E-06    7.69993352E-04    7.69810408E-04    1.80284043E-01   -1.61249754E-03    2.42759538E-13    3.08000000E+02
      20    7.73973140E-06    7.69993352E-04    7.69810408E-04    1.80284043E-01   -1.61249754E-03    2.42759538E-13    3.08000000E+02
      21    7.73973140E-06    7.69993352E-04    7.69810408E-04    1.80284043E-01   -1.61249754E-03    2.42759538E-13    3.08000000E+02
      22    8.76222122E-06    9.27262608E-04    9.26914221E-04    3.44859913E-01   -1.93479674E-03    3.52242111E-13    3.08000000E+02
      23    8.76222122E-06    9.27262608E-04    9.26914221E-04    3.44859913E-01   -1.93479674E-03    3.52242111E-13    3.08000000E+02
      24    8.76222122E-06    9.27262608E-04    9.26914221E-04    3.44859913E-01   -1.93479674E-03    3.52242111E-13    3.08000000E+02
      25    8.76222122E-06    9.27262608E-04    9.26914221E-04    3.44859913E-01   -1.93479674E-03    3.52242111E-13    3.08000000E+02
      26    8.76222122E-06    9.27262608E-04    9.26914221E-04    3.44859913E-01   -1.93479674E-03    3.52242111E-13    3.08000000E+02
